MCC,DESCRIPTION
5966,Direct marketing -- outbound telemarketing merchants
5967,Direct marketing -- inbound telemarketing merchants
5968,Direct marketing -- continuity/subscription merchants
5969,Direct marketing/direct marketers -- not elsewhere classified
5970,Artist supply and craft shops
5971,Art dealers and galleries
5972,Stamp and coin shops
5973,Religious goods and shops
5975,"Hearing aids -- sales, service and supplies"
5976,Orthopaedic goods and prosthetic devices
5978,"Typewriter outlets -- sales, service and rentals"
5983,"Fuel dealers -- fuel oil, wood, coal and liquefied petroleum"
5992,Florists
5993,Cigar shops and stands
5994,Newsagents and news-stands
5995,"Pet shops, pet food and supplies"
5996,"Swimming pools -- sales, supplies and services"
5997,Electric razor outlets -- sales and service
5998,Tent and awning shops
5999,Miscellaneous and speciality retail outlets
6010,Financial institutions -- manual cash disbursements
6011,Financial institutions -- automated cash disbursements
6012,Financial institutions -- merchandise and services
6051,"Non-financial institutions -- foreign currency, money orders (not wire transfer), scrip and travellers' checks"
6211,Securities -- brokers and dealers
6300,"Insurance sales, underwriting and premiums"
7011,"Lodging -- hotels, motels and resorts"
7012,Timeshares
7032,Sporting and recreational camps
7033,Trailer parks and camp-sites
7210,"Laundry, cleaning and garment services"
7211,Laundry services -- family and commercial
7216,Dry cleaners
7217,Carpet and upholstery cleaning
7221,Photographic studios
7230,Beauty and barber shops
7251,"Shoe repair shops, shoe shine parlours and hat cleaning shops"
7261,Funeral services and crematoriums
7273,Dating and escort services
7276,Tax preparation services
7277,"Counselling services -- debt, marriage and personal"
7278,Buying and shopping services and clubs
7296,"Clothing rentals -- costumes, uniforms and formal wear"
7297,Massage parlours
7298,Health and beauty spas
7299,Miscellaneous personal services -- not elsewhere classified
7311,Advertising services
7321,Consumer credit reporting agencies
7322,Debt collection agencies
7333,"Commercial photography, art and graphics"
7338,"Quick copy, reproduction and blueprinting services"
7339,Stenographic and secretarial support services
7342,Exterminating and disinfecting services
7349,"Cleaning, maintenance and janitorial services"
7361,Employment agencies and temporary help services
7372,"Computer programming, data processing and integrated systems design services"
7375,Information retrieval services
7379,Computer maintenance and repair services -- not elsewhere classified
7392,"Management, consulting and public relations services"
7393,"Detective agencies, protective agencies and security services, including armoured cars and guard dogs"
7394,"Equipment, tool, furniture and appliance rentals and leasing"
7395,Photofinishing laboratories and photo developing
7399,Business services -- not elsewhere classified
7512,Automobile rentals
7513,Truck and utility trailer rentals
7519,Motor home and recreational vehicle rentals
7523,Parking lots and garages
7531,Automotive body repair shops
7534,Tyre retreading and repair shops
7535,Automotive paint shops
7538,Automotive service shops (non-dealer)
7542,Car washes
7549,Towing services
7622,Electronics repair shops
7623,Air conditioning and refrigeration repair shops
7629,Electrical and small appliance repair shops
7631,"Watch, clock and jewellery repair shops"
7641,"Furniture reupholstery, repair and refinishing"
7692,Welding services
7699,Miscellaneous repair shops and related services
7829,Motion picture and video tape production and distribution
7832,Motion picture theatres
7841,Video tape rentals
7911,"Dance halls, studios and schools"
7922,Theatrical producers (except motion pictures) and ticket agencies
7929,"Bands, orchestras and miscellaneous entertainers -- not elsewhere classified"
7932,Billiard and pool establishments
7933,Bowling alleys
7941,"Commercial sports, professional sports clubs, athletic fields and sports promoters"
7991,Tourist attractions and exhibits
7992,Public golf courses
7993,Video amusement game supplies
7994,Video game arcades and establishments
7995,"Betting, including lottery tickets, casino gaming chips, off-track betting and wagers at race tracks"
7996,"Amusement parks, circuses, carnivals and fortune tellers"
7997,"Membership clubs (sports, recreation, athletic), country clubs and private golf courses"
7998,"Aquariums, seaquariums and dolphinariums"
7999,Recreation services -- not elsewhere classified
8011,Doctors and physicians -- not elsewhere classified
8021,Dentists and orthodontists
8031,Osteopaths
8041,Chiropractors
8042,Optometrists and ophthalmologists
8043,"Opticians, optical goods and eyeglasses"
8049,Podiatrists and chiropodists
8050,Nursing and personal care facilities
8062,Hospitals
8071,Medical and dental laboratories
8099,Medical services and health practitioners -- not elsewhere classified
8111,Legal services and attorneys
8211,Elementary and secondary schools
8220,"Colleges, universities, professional schools and junior colleges"
8241,Correspondence schools
8244,Business and secretarial schools
8249,Trade and vocational schools
8299,Schools and educational services -- not elsewhere classified
8351,Child care services
8398,Charitable and social service organizations
8641,"Civic, social and fraternal associations"
8651,Political organizations
8661,Religious organizations
8675,Automobile associations
8699,Membership organization -- not elsewhere classified
8734,Testing laboratories (non-medical)
8911,"Architectural, engineering and surveying services"
8931,"Accounting, auditing and bookkeeping services"
8999,Professional services -- not elsewhere classified
9211,"Court costs, including alimony and child support"
9222,Fines
9223,Bail and bond payments
9311,Tax payments
9399,Government services -- not elsewhere classified
9402,Postal services -- government only
